"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Nov-2023","EQ","912.00","919.30","911.25","911.25","913.00","913.70","915.48","928.00","686.60","9,01,911","82,56,83,324.65","43,360"
"02-Nov-2023","EQ","910.15","917.70","903.55","903.15","911.00","911.25","911.35","928.00","686.60","10,82,513","98,65,49,320.60","55,170"
"01-Nov-2023","EQ","906.00","920.00","895.70","900.50","904.75","903.15","909.76","928.00","686.60","26,78,745","2,43,70,22,939.30","82,998"
"31-Oct-2023","EQ","899.50","903.40","892.00","893.55","900.05","900.50","898.64","928.00","686.60","10,82,510","97,27,91,612.70","42,597"
"30-Oct-2023","EQ","886.00","896.00","880.20","891.10","892.85","893.55","890.14","928.00","686.60","11,47,541","1,02,14,73,467.00","58,630"
"27-Oct-2023","EQ","880.00","894.50","876.00","880.35","890.00","891.10","889.25","928.00","686.60","7,97,507","70,91,84,024.45","42,330"
"26-Oct-2023","EQ","883.25","886.95","872.00","890.00","878.00","880.35","880.14","928.00","686.60","19,66,650","1,73,09,28,634.55","86,324"
"25-Oct-2023","EQ","883.30","894.45","882.35","883.10","889.05","890.00","888.92","928.00","686.60","15,31,972","1,36,17,95,532.50","61,781"
"23-Oct-2023","EQ","898.75","906.05","880.25","898.95","881.80","883.10","892.78","928.00","686.60","9,73,113","86,87,76,344.30","49,066"
"20-Oct-2023","EQ","891.95","901.80","888.65","895.40","899.95","898.95","894.95","928.00","686.60","22,95,312","2,05,41,78,356.75","69,635"
"19-Oct-2023","EQ","896.00","900.40","879.05","895.70","895.00","895.40","890.24","928.00","686.60","14,30,475","1,27,34,59,505.75","79,724"
"18-Oct-2023","EQ","912.45","915.00","892.10","907.85","895.25","895.70","899.24","928.00","686.60","12,18,914","1,09,60,99,247.90","67,788"
"17-Oct-2023","EQ","912.05","928.00","905.15","908.60","907.00","907.85","919.34","928.00","686.60","32,28,492","2,96,80,94,086.35","79,088"
"16-Oct-2023","EQ","917.80","917.80","906.05","913.35","909.00","908.60","912.31","918.00","686.60","15,24,935","1,39,12,09,433.35","59,929"
"13-Oct-2023","EQ","890.25","918.00","888.85","892.35","911.50","913.35","909.59","918.00","686.60","51,20,134","4,65,72,24,576.80","1,41,364"
"12-Oct-2023","EQ","888.90","894.15","883.20","888.40","892.50","892.35","890.43","909.90","686.60","7,75,364","69,04,10,124.10","65,756"
